title,author,source,URL,created_at,updated_at
"Racial, gender wage gaps persist in U.S. despite some progress",Eileen Patten,Pew Research Group,http://www.pewresearch.org/fact-tank/2016/07/01/racial-gender-wage-gaps-persist-in-u-s-despite-some-progress/,,
Diversity Is Useless Without Inclusivity,Christine M. Riordan,Harvard Business Review,https://hbr.org/2014/06/diversity-is-useless-without-inclusivity,,
Cracking the Code That Stalls People of Color,Sylvia Ann Hewlett,Harvard Business Review,https://hbr.org/2014/01/cracking-the-code-that-stalls-multicultural-professionals,,
Getting diversity right in the workplace,Nic Hammarling,Training Journal,https://www.trainingjournal.com/articles/feature/getting-diversity-right-workplace,,
We Just Can’t Handle Diversity,Lisa Burrell,Harvard Business Review,https://hbr.org/2016/07/we-just-cant-handle-diversity,,
Why does John get the STEM job rather than Jennifer?,Alexander W. Watts,Stanford University,http://gender.stanford.edu/news/2014/why-does-john-get-stem-job-rather-jennifer,,
Google aims to prevent machine learning discrimination (with the possible exception of age),Nicky Cappella,The Stack,https://thestack.com/world/2016/10/11/google-brain-machine-learning-discrimination/,,
Airbnb Adopts Rules to Fight Discrimination by Its Hosts,Katie Benner,New York Times,https://www.nytimes.com/2016/09/09/technology/airbnb-anti-discrimination-rules.html?_r=1,,
Are You Biased Against That Coworker You Don’t Like?,Tomas Chamorro-Premuzic and Ben Dattner,Harvard Business Review,https://hbr.org/2016/10/are-you-biased-against-that-coworker-you-dont-like?utm_source=twitter&utm_medium=social&utm_campaign=harvardbiz,,
"Yes, Implicit Bias Exists — No, That Doesn't Make You Racist",Derek Beres,Big Think,http://bigthink.com/21st-century-spirituality/implicit-bias-is-not-racism,,
"Bias Isn't Just A Police Problem, It's A Preschool Problem",Cory Turner,NPR,http://www.npr.org/sections/ed/2016/09/28/495488716/bias-isnt-just-a-police-problem-its-a-preschool-problem,,
What Goes Through Your Mind: On Nice Parties and Casual Racism,Nicole Chung,The Toast,http://the-toast.net/2016/01/05/what-goes-through-your-mind-casual-racism/,,
I Recorded The Racist Things People Said & Did To Me For 2 Weeks,Margaret e Jacobsen,Romper,https://www.romper.com/p/i-recorded-the-racist-things-people-said-did-to-me-for-2-weeks-1690,,
How Changing One Word In Job Descriptions Can Lead To More Diverse Candidates,Courtney Seiter,Buffer,https://www.fastcompany.com/3044094/how-changing-one-word-in-job-descriptions-can-lead-to-more-diverse-candid,,
How to start talking to your team about diversity,Brittany Laughlin,Personal Blog,http://likesandlaunch.com/post/113154741023/how-to-start-talking-to-your-team-about-diversity,,
Spotlight On AthenaHacks: Why Female Hackathons Are Important,Saqi Mehta,Huffington Post,http://www.huffingtonpost.com/entry/spotlight-on-athenahacks-why-female-hackathons-are_us_58ebf5fae4b0145a227cb797,,
Mattel Finally Nails It With Game Developer Barbie,Emily Peck,Huffington Post,http://www.huffingtonpost.com/entry/game-developer-barbie_us_57642e6de4b0853f8bf0ae75,,
